Course, Room, Semester, Period
FSF2D1, 2028, 1, 2, 
FSF2D1, 2028, 2, 1, 
FSF2D1, 2028, 1, 3, 
DCO3OC, 2028, 2, 4, 
DCO3OC, 2028, 1, 4, 
DCO3OC, 1059, 2, 4, 
FSF1DG, 1059, 1, 1, 
FSF1DG, 1059, 2, 2, 
FSF1DG, 1059, 1, 3, 
ICS3U6, 2038A, 2, 1, 
ICS3U6, 2038A, 1, 1, 
ICS3U6, 2038A, 2, 3, 
ICS3U1, 2038A, 1, 2, 
ICS3U1, 2038, 2, 4, 
ICS3U1, 2038, 1, 3, 
CLU3M1, 1059, 2, 1, 
CLU3M1, 1059, 1, 2, 
CLU3M1, 1059, 2, 3, 
ENG1DG, 1059, 1, 4, 
ENG1DG, 2027, 2, 2, 
ENG1DG, PB5, 1, 4, 
ICS4U1, 2038, 2, 2, 
ICS4U1, 2038, 1, 4, 
ICS4U1, 2038, 2, 3, 
BBB4M1, 2027, 2, 3, 
BBB4M1, 2027, 1, 2, 
BBB4M1, 2027, 2, 4, 
HFA4U1, 1014, 2, 2, 
HFA4U1, 1014, 1, 2, 
HFA4U1, 1014, 2, 3, 
HIF1O1, 2027, 1, 1, 
HIF1O1, 2027, 2, 1, 
HIF1O1, 2027, 1, 3, 
MTH1WG, 2026, 2, 1, 
MTH1WG, 2026, 1, 2, 
MTH1WG, 2026, 2, 3, 
AVI2O1, 2004, 1, 1, 
AVI2O1, 2004, 2, 2, 
AVI2O1, 2004, 1, 4, 
TEJ2O1, 1037, 2, 2, 
TEJ2O1, 1037, 1, 2, 
TEJ2O1, 1037, 2, 1, 
CGC1DG, 2026, 1, 1, 
CGC1DG, 2026, 2, 4, 
CGC1DG, 2026, 1, 3, 
ICS2O1, 2038, 1, 1, 
ICS2O1, 2038, 2, 1, 
ICS2O1, 2038, 1, 2, 
ICS2O1, 2026, 2, 2, 
FSF1P1, 2026, 1, 4, 
FSF1P1, 2024A, 2, 1, 
FSF1P1, 2024A, 1, 1, 
FSF1P1, 2024A, 2, 3, 
ADA1O1, 1070, 1, 1, 
HSP3U1, 2024A, 1, 2, 
HSP3U1, 2024A, 2, 2, 
HSP3U1, 2024A, 1, 3, 
HSP3U1, 2024A, 2, 4, 
HFN2O1, 1014, 1, 4, 
HFN2O1, 1014, 2, 1, 
HFN2O1, 1014, 1, 3, 
HFN2O1, PB2, 1, 4, 
TEJ3M1, 1037, 1, 4, 
TEJ3M1, 1037, 2, 3, 
TEJ3M1, 1037, 1, 1, 
TEJ3M1, 2002A, 2, 2, 
MDM4U1, 2025, 2, 4, 
MDM4U1, 2025, 1, 2, 
MDM4U1, 2025, 2, 3, 
MDM4U1, 2025, 1, 1, 
MCR3U6, 2025, 2, 1, 
MCR3U6, 2025, 1, 3, 
MCR3U6, 2025, 2, 2, 
MCR3U6, 2025, 1, 4, 
BAF3M1, 2024, 2, 1, 
BAF3M1, 2024, 1, 1, 
BAF3M1, 2024, 2, 4, 
BAF3M1, 2024, 1, 3, 
TIJ1O1, 2002A, 1, 3, 
TIJ1O1, 2002A, 2, 4, 
TIJ1O1, 2002A, 1, 4, 
TIJ1O1, 2002A, 2, 1, 
TIJ1O1, 2002A, 1, 2, 
SBI3U1, 1031, 2, 3, 
SBI3U1, 1031, 1, 1, 
SBI3U1, 1031, 2, 1, 
SBI3U1, 1031, 1, 4, 
SBI3U1, 2011, 2, 1, 
PPL1O8, 1024B, 2, 3, 
PPL1O8, 1024B, 1, 4, 
PPL1O8, 1024B, 1, 1, 
PPL1O8, 1024A, 1, 1, 
PPL1O8, 1024A, 2, 1, 
BTT1O1, 2024, 2, 2, 
BTT1O1, 2024, 1, 2, 
BTT1O1, 2024, 2, 3, 
BTT1O1, 2024, 1, 4, 
BTT1O1, PB5, 2, 4, 
SPH4U1, 2044, 2, 4, 
