Course Code,Course Title,Grade,Type,Credits,Prequisites,Corequisites,Special,Caps (Per Class
CGW4U,Canadian and World Issues: A Geographic Analysis,12,University,1,"[CGF3M1, CGR4M1, CGW4U1, SES4U1, ENG3C1, ENG3U1, ENG4C1, ETS4U1, EWC4U1, HRT3M1, HHG4M1, HZT4U1, CHA3U1, CHW3M1, CHI4U1, CHY4U1, NBV3C1, ENG3C2, ENG3U2]",[],"Any university or university/college preparation course in Canadian and World Studies, English, or Social Sciences and Humanities",35
CGW4U1,Canadian and World Issues: A Geographic Analysis,12,University,1,[],[],[],30
CGW4UE,World Issues:  A Geographic Perspective,12,,,,,,30
CHA3U1,American History,11,University,,[CHC2D1],[],[],35
CHC2D1,Canadian History Since World War One,10,Academic,1,[],[],[],35
CHC2DG,Canadian History Since World War I,10,,,,,,35
CHC2DL,Canadian History Since World War I,10,,,,,,35
CHC2L1,Canadian History Since World War 1,10,Locally Developed,1,[],[],[],30
CHC2P1,Canadian History Since World War One,10,Applied,1,[],[],[],22
CHC2PV,Canadian History Since World War I,10,Applied,1,[],"[ENG2PV], [MFM2PV], [SNC2PV]",,35
CHI4U1,"Canada: History, Identity, and Culture",12,University,1,"[CHW3M1, HRT3M1, CHA3U1, HSP3U1, ENG3U2, NBE3U1, HHG4M1, HFA4U1, HHS4U1]",[],"Any U or U/C course in Canadian & World Studies, English or Social Science & Humanities.",35
CHM4E1,Adventures in World History,12,Workplace,,"[CHC2P1, CHC2D1]",[],[],35
CHT3O1,World History Since 1900 : Global and Regional Interactions,11,,,,,,30
CHW3M1,World History to the End of the 15th Century,11,University/College,1,"[CHC2D1, CHC2P1]",[],[],35
CHY4C1,World History since the Fifteenth Century,12,University,1,"[CHW3M1, HRT3M1, CHA3U1, HSP3U1, ENG3U2, NBE3U1, HHG4M1, HFA4U1, HHS4U1]",[],"Any university or university/college preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.",35
CHY4U1,World History Since the 15th Century,12,University,1,"[CHW3M1, HRT3M1, CHA3U1, HSP3U1, ENG3U2, NBE3U1, HHG4M1, HFA4U1, HHS4U1]",[],"Any university or university/college preparation course in Canadian and World Studies, English, or Social Sciences and Humanities.",28
CIA4U1,Analysing Current Economic Issues,12,University,1,"[CGF3M1, CGR4M1, CGW4U1, SES4U1, ENG3C1, ENG3U1, ENG4C1, ETS4U1, EWC4U1, HRT3M1, HHG4M1, HZT4U1, CHA3U1, CHW3M1, CHI4U1, CHY4U1, NBV3C1, ENG3C2, ENG3U2]",[],"Any U or U/M course in Canadian and World Studies, English, or Social Sciences and Humanities.",35
