Course Code,Course Title,Grade,Type,Credits,Prequisites,Corequisites,Special,Caps (Per Class
SCH3U6,Chemistry (Pre-AP),11,,,,,,29
SCH4C1,Chemistry,12,College,1,"[SNC2D1, SNC2P1, SNC2PV]",[],[],28
SCH4CK,Chemistry,12,,,,,,28
SCH4U1,Chemistry,12,University,1,[SCH3U1],[],[],29
SCH4UE,Chemistry (AP),12,,,,,,29
SES4U1,Earth and Space Science,12,University,1,[SNC2D1],[],[],29
SNC1D1,Science,9,Academic,1,[],[],[],29
SNC1D2,Science,9,Academic,,,,,29
SNC1D7,Science (STEAM),9,Academic,,,,,29
SNC1DG,Science (Gifted),9,Academic,,,,,29
SNC1DI,Science,9,Academic,,,,,29
SNC1DL,Science,9,Academic,,,,,29
SNC1L1,Science - Locally Developed,9,Locally-Developed,1,[],[],[],16
SNC1LK,Science,9,Locally-Developed,,,,,16
SNC1P1,Science,9,Applied,1,[],[],[],22
SNC1PK,Science,9,Applied,,,,,22
SNC1PV,Language Intensive Science,9,Applied,1,[],"[ENG1PV], [MFM1PV], [CGC1PV]",[],8
SNC2D1,Science,10,Academic,1,"[SNC1D1, SNC1P1]",[],[],29
SNC2D2,Science,10,Academic,,,,,29
SNC2DG,Science (Gifted),10,Academic,,,,,29
SNC2L1,Science - Locally Developed,10,Locally-Developed,1,[],[],[],22
SNC2P1,Science,10,Applied,1,"[SNC1D1, SNC1P1]",[],[],22
SNC2PV,Language Intensive Science,10,Applied,1,[SNC1PV],"[ENG2PV], [MFM2PV], [CHC2PV]",[],8
SPH3U1,Physics,11,University,1,[SNC2D1],[],[],29
SPH4C1,Physics,12,College,1,"[SNC2D1, SNC2P1, SNC2PV]",[],[],28
SPH4U1,Physics,12,University,1,[SPH3U1],[],[],29
SPH4UE,Physics (AP),12,University,,,,,29
SVN3M1,Environmental Science,11,University/College,1,"[SNC2D1, SNC2P1, SNC2PV]",[],[],29
SVN3MK,Environmental Science,11,University/College,,,,,29
TCJ2O1,Construction Technology,10,Open,1,[],[],[],22
TCJ2O2,Construction Technology - Custom Woodworking Focus,10,Open,1,[],[],[],22
TCJ3E1,Construction - Home Repair and Improvements,11,Workplace,1,[],[],[],22
TCJ3E2,Sheet Metal & Construction,11,Workplace,1,[],[],Recommended one TCJ or TMJ course.,22
TCJ4E1,Construction Technology,12,Workplace,1,"[TCJ3E1, TCJ3E2]",[],[],22
TDJ2O1,Technological Design,10,Open,1,[],[],[],22
TDJ3M1,Technological Design,11,University/College,1,[],[],[],22
TDJ4M1,Technological Design,12,University/College,1,[TDJ3M1],[],[],22
TEJ2O1,Computer Technology,10,Open,1,[],[],[],22
TEJ3M1,Computer Engineering Technology,11,University/College,1,[],[],Recommended TIK2O1 (ICS2O1) and strongly recommended MFM2P or MPM2D.,22
TEJ4M1,Computer Engineering Technology,12,University/College,1,[TEJ3M1],[],[],22
TFJ2O1,Hospitality and Tourism - Cooking Focus,10,Open,1,[],[],[],22
TFJ3C1,Hospitality and Tourism - Event Planning,11,College,1,[],[],[],22
TFJ4C,Hospitality and Tourism,12,College,1,[TFJ3C1],[],[],22
TGJ1O1,Exploring Communications Technology,9,Open,1,[],[],[],28
TGJ1O1,Exploring Communications Technology,9,Open,1,[],[],[],22
TGJ2O1,Communications Technology,10,Open,1,[],[],[],28
TGJ3M1,Communications Technology,11,University/College,1,[TGJ2O1],[],[],28
TGJ4M1,Communication Technology,12,University/College,1,[],[],[],28
TGV3M1,"Communications Technology: TV, Video & Movie Production",11,,,,,,28
TGV4M1,"Communications Technology: TV, Video & Movie Production",12,,,,,,28
TIJ1O1,Exploring Technologies,9,Open,1,[],[],[],22
TWJ3E1,Custom Woodworking,11,Workplace,1,[],[],[],20
TWJ4E1,Custom Woodworking,12,Workplace,1,[TWJ3E1],[],[],22
YYY4X1,Dual Credit - College-Delivered,12,,,,,,30
YYY4X2,Dual Credit - College-Delivered,12,,,,,,30
